Unloaded module: latex/TeXLive12
Loaded module: python3/3.6.0
c1=-5, c2=-20, d=-20, lambda=0.01

 Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-5, c2=-20, d=-20, lambda=0.1

 Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-5, c2=-20, d=-20, lambda=1

 Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-5, c2=-20, d=-20, lambda=10

 Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-5, c2=-20, d=-20, lambda=100

 Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-5, c2=-20, d=-15, lambda=0.01

 Train: 0.7661138771303054 Validation: 0.7424498187920607

c1=-5, c2=-20, d=-15, lambda=0.1

 Train: 0.7661138771303025 Validation: 0.7424498187920578

c1=-5, c2=-20, d=-15, lambda=1

 Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-5, c2=-20, d=-15, lambda=10

 Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-5, c2=-20, d=-15, lambda=100

 Train: 0.7661138771303022 Validation: 0.7424498187920576

c1=-5, c2=-20, d=-10, lambda=0.01

 Train: 0.7661138668664312 Validation: 0.7424498082733272

c1=-5, c2=-20, d=-10, lambda=0.1

 Train: 0.7661138761039151 Validation: 0.7424498177401845

c1=-5, c2=-20, d=-10, lambda=1

 Train: 0.7661138770276635 Validation: 0.7424498186868703

c1=-5, c2=-20, d=-10, lambda=10

 Train: 0.7661138771200384 Validation: 0.7424498187815388

c1=-5, c2=-20, d=-10, lambda=100

 Train: 0.7661138771292759 Validation: 0.7424498187910057

c1=-5, c2=-20, d=-5, lambda=0.01

 Train: 0.8033112850233033 Validation: 0.780518589776064

c1=-5, c2=-20, d=-5, lambda=0.1

 Train: 0.7694497095180729 Validation: 0.745866926998134

c1=-5, c2=-20, d=-5, lambda=1

 Train: 0.7664440024590591 Validation: 0.7427880159998361

c1=-5, c2=-20, d=-5, lambda=10

 Train: 0.766146855429339 Validation: 0.7424836037247994

c1=-5, c2=-20, d=-5, lambda=100

 Train: 0.7661171746182096 Validation: 0.7424531969377962

c1=-5, c2=-20, d=0, lambda=0.01

 Train: 0.5555076189496058 Validation: 0.5264812471594592

c1=-5, c2=-20, d=0, lambda=0.1

 Train: 0.555507619240874 Validation: 0.5264811217352311

c1=-5, c2=-20, d=0, lambda=1

 Train: 0.5555076483495623 Validation: 0.5264798955628145

c1=-5, c2=-20, d=0, lambda=10

 Train: 0.5555105411811626 Validation: 0.5264704214376545

c1=-5, c2=-20, d=0, lambda=100

 Train: 0.5557826060971731 Validation: 0.5266363806973965

c1=-5, c2=-20, d=5, lambda=0.01

 Train: 0.07608825783060799 Validation: 0.29630699101111135

c1=-5, c2=-20, d=5, lambda=0.1

 Train: 0.07608825781444051 Validation: 0.2963070325239648

c1=-5, c2=-20, d=5, lambda=1

 Train: 0.07608825783702168 Validation: 0.2963077280253214

c1=-5, c2=-20, d=5, lambda=10

