Unloaded module: latex/TeXLive12
Loaded module: python3/3.6.2
[1.e+02 1.e-03]
[1.05e+02 1.00e-03]
[1.00e+02 1.05e-03]
[9.50e+01 1.05e-03]
[9.000e+01 1.075e-03]
[9.000e+01 1.125e-03]
[8.5000e+01 1.1875e-03]
[7.5000e+01 1.2125e-03]
[6.25000e+01 1.29375e-03]
[5.75000e+01 1.40625e-03]
[4.125000e+01 1.571875e-03]
[1.875000e+01 1.678125e-03]
[-1.4375000e+01  1.9234375e-03]
[-3.5625000e+01  2.2015625e-03]
[-8.46875000e+01  2.65546875e-03]
[-1.40312500e+02  3.00703125e-03]
[-2.31093750e+02  3.72460938e-03]
[-3.01406250e+02  4.45664063e-03]
[-4.44921875e+02  5.72324219e-03]
[-5.91328125e+02  6.79238281e-03]
[-8.44648438e+02  8.86083984e-03]
[-1.05847656e+03  1.08594727e-02]
[-1.47216797e+03  1.44269043e-02]
[-1.87189453e+03  1.75645020e-02]
[-2.58538086e+03  2.34851318e-02]
[-3.21290039e+03  2.90511963e-02]
[-4.39702637e+03  3.91463745e-02]
[-5.51023926e+03  4.82046021e-02]
[-7.52927490e+03  6.50934509e-02]
[-9.34092041e+03  8.07546936e-02]
[-1.27186902e+04  1.09389474e-01]
[-1.58509387e+04  1.35336551e-01]
[-2.15778949e+04  1.83431639e-01]
[-2.67673102e+04  2.27727663e-01]
[-3.63863278e+04  3.09044769e-01]
[-4.52455325e+04  3.83086933e-01]
[-6.15089537e+04  5.19935662e-01]
[-7.63173866e+04  6.45548792e-01]
[-1.03687132e+05  8.76607368e-01]
[-1.28809758e+05  1.08749826e+00]
[-1.70987937e+05  1.44416997e+00]
[-1.43618191e+05  1.21311139e+00]
[-8.88786996e+04  7.50994239e-01]
[-1.02563573e+05  8.66523527e-01]
[-7.74409466e+04  6.55632633e-01]
[-1.15967555e+05  9.79531855e-01]
[-1.17091115e+05  9.89615696e-01]
[-1.29371538e+05  1.09254018e+00]
[-1.10108234e+05  9.30590572e-01]
[-1.08984674e+05  9.20506731e-01]
[-1.11011284e+05  9.37783972e-01]
[-1.05151963e+05  8.88842689e-01]
[-1.13263657e+05  9.56859563e-01]
[-1.14166708e+05  9.64052964e-01]
[-1.16419081e+05  9.83128555e-01]
[-1.12363233e+05  9.49120118e-01]
[-1.11460183e+05  9.41926718e-01]
[-1.13490077e+05  9.58521402e-01]
[-1.12136814e+05  9.47458279e-01]
[-1.13151761e+05  9.55755621e-01]
[-1.14052185e+05  9.63495067e-01]
[-1.12785471e+05  9.52713855e-01]
[-1.12673575e+05  9.51609913e-01]
[-1.12307285e+05  9.48568147e-01]
[-1.12940642e+05  9.53958753e-01]
[-1.13052538e+05  9.55062695e-01]
[-1.12957797e+05  9.54199499e-01]
[-1.13112968e+05  9.55444397e-01]
[-1.12867346e+05  9.53396491e-01]
[-1.12850190e+05  9.53155744e-01]
[-1.12776894e+05  9.52593482e-01]
[-1.12899705e+05  9.53617435e-01]
[-1.12916860e+05  9.53858182e-01]
[-1.12866858e+05  9.53331353e-01]
[-1.12834498e+05  9.53110409e-01]
[-1.12883403e+05  9.53490678e-01]
[-1.12883891e+05  9.53555816e-01]
[-1.12867833e+05  9.53461628e-01]
[-1.12860049e+05  9.53447102e-01]
[-1.12851288e+05  9.53302303e-01]
[-1.12875740e+05  9.53492437e-01]
[-1.12876228e+05  9.53557575e-01]
[-1.12869566e+05  9.53436762e-01]
[-1.12871787e+05  9.53477033e-01]
[-1.12871543e+05  9.53444464e-01]
[-1.12875984e+05  9.53525006e-01]
[-1.12872653e+05  9.53464600e-01]
[-1.12868700e+05  9.53449195e-01]
[-1.12873980e+05  9.53481627e-01]
[-1.12872220e+05  9.53470816e-01]
[-1.12874197e+05  9.53478518e-01]
[-1.12874630e+05  9.53472302e-01]
[-1.12873086e+05  9.53458383e-01]
[-1.12873919e+05  9.53473485e-01]
[-1.12873364e+05  9.53463417e-01]
[-1.12873503e+05  9.53465934e-01]
[-1.12873642e+05  9.53468451e-01]
[-1.12873286e+05  9.53469042e-01]
[-1.12872298e+05  9.53465191e-01]
[-1.12872634e+05  9.53466006e-01]
[-1.12872970e+05  9.53466821e-01]
[-1.12873147e+05  9.53466525e-01]
[-1.12872476e+05  9.53464895e-01]
[-1.12872644e+05  9.53465303e-01]
[-1.12872979e+05  9.53466118e-01]
[-1.12872727e+05  9.53465506e-01]
[-1.12872811e+05  9.53465710e-01]
[-1.12872648e+05  9.53464951e-01]
[-1.1287249e+05  9.5346384e-01]
[-1.12872731e+05  9.53465243e-01]
[-1.12872736e+05  9.53464891e-01]
[-1.12872670e+05  9.53464936e-01]
[-1.12872592e+05  9.53464293e-01]
[-1.12872696e+05  9.53465005e-01]
[-1.12872662e+05  9.53464768e-01]
[-1.12872692e+05  9.53464921e-01]
[-1.12872684e+05  9.53464753e-01]
[-1.12872678e+05  9.53464757e-01]
[-1.12872673e+05  9.53464760e-01]
[-1.12872677e+05  9.53464844e-01]
[-1.12872688e+05  9.53464837e-01]
[-1.12872685e+05  9.53464839e-01]
[-1.12872680e+05  9.53464843e-01]
[-1.12872684e+05  9.53464840e-01]
[-1.12872682e+05  9.53464841e-01]
[-1.12872679e+05  9.53464800e-01]
[-1.12872676e+05  9.53464801e-01]
[-1.12872678e+05  9.53464800e-01]
[-1.12872678e+05  9.53464801e-01]
[-1.12872676e+05  9.53464780e-01]
[-1.12872674e+05  9.53464781e-01]
[-1.12872670e+05  9.53464741e-01]
[-1.12872668e+05  9.53464720e-01]
[-1.12872673e+05  9.53464766e-01]
[-1.12872671e+05  9.53464751e-01]
[-1.12872674e+05  9.53464771e-01]
[-1.12872675e+05  9.53464780e-01]
[-1.12872674e+05  9.53464773e-01]

------------------------------------------------------------
Sender: LSF System <lsfadmin@n-62-21-23>
Subject: Job 1756000: <batch_job_this_is_on_purpose_to_utilize_more_kernel> in cluster <dcc> Done

Job <batch_job_this_is_on_purpose_to_utilize_more_kernel> was submitted from host <gbarlogin2> by user <s174007> in cluster <dcc> at Tue Jan 15 17:21:47 2019
Job was executed on host(s) <n-62-21-23>, in queue <hpc>, as user <s174007> in cluster <dcc> at Tue Jan 15 17:21:48 2019
</zhome/b0/b/127184> was used as the home directory.
</zhome/b0/b/127184/Documents/Projects/machine-learning-on-materials> was used as the working directory.
Started at Tue Jan 15 17:21:48 2019
Terminated at Tue Jan 15 18:14:10 2019
Results reported at Tue Jan 15 18:14:10 2019

Your job looked like:

------------------------------------------------------------
# LSBATCH: User input
#!/bin/bash
##Kør på cpu
#BSUB -q hpc
##Navn på job
#BSUB -J batch_job_this_is_on_purpose_to_utilize_more_kernel
##Output fil
#BSUB -o output/batch/batchjobs-%J.out
##Antal kerner
#BSUB -n 1
##Om kernerne må være på forskellige computere
#BSUB -R "span[hosts=1]"
##Ram pr kerne
#BSUB -R "rusage[mem=10GB]"
##Hvor lang tid må den køre hh:mm
#BSUB -W 45:00
##Email når jobbet starter
##og stopper
module purge
module load python3
python3 KRR/batch_KRR_learn.py linear 0.001 GP newest 100 80
------------------------------------------------------------

Successfully completed.

Resource usage summary:

    CPU time :                                   3140.28 sec.
    Max Memory :                                 1900 MB
    Average Memory :                             1762.84 MB
    Total Requested Memory :                     10240.00 MB
    Delta Memory :                               8340.00 MB
    Max Swap :                                   -
    Max Processes :                              4
    Max Threads :                                5
    Run time :                                   3142 sec.
    Turnaround time :                            3143 sec.

The output (if any) is above this job summary.

