Unloaded module: latex/TeXLive12
Loaded module: python3/3.6.2
[-1.e+02  1.e-03]
[-1.05e+02  1.00e-03]
[-1.00e+02  1.05e-03]
[-1.05e+02  1.05e-03]
[-1.075e+02  1.075e-03]
[-1.025e+02  1.125e-03]
[-1.0125e+02  1.1875e-03]
[-1.0875e+02  1.2125e-03]
[-1.13125e+02  1.29375e-03]
[-1.06875e+02  1.40625e-03]
[-1.065625e+02  1.571875e-03]
[-1.184375e+02  1.678125e-03]
[-1.2703125e+02  1.9234375e-03]
[-1.2046875e+02  2.2015625e-03]
[-1.24140625e+02  2.65546875e-03]
[-1.44609375e+02  3.00703125e-03]
[-1.63632812e+02  3.72460938e-03]
[-1.60742188e+02  4.45664063e-03]
[-1.77597656e+02  5.72324219e-03]
[-2.17089844e+02  6.79238281e-03]
[-2.63564453e+02  8.86083984e-03]
[-2.77529297e+02  1.08594727e-02]
[-3.34477539e+02  1.44269043e-02]
[-4.20444336e+02  1.75645020e-02]
[-5.41867676e+02  2.34851318e-02]
[-6.12780762e+02  2.90511963e-02]
[-7.87388916e+02  3.91463745e-02]
[-9.94779053e+02  4.82046021e-02]
[-1.32492981e+03  6.50934509e-02]
[-1.57045105e+03  8.07546936e-02]
[-2.08474274e+03  1.09389474e-01]
[-2.62228363e+03  1.35336551e-01]
[-3.53973099e+03  1.83431639e-01]
[-4.29954391e+03  2.27727663e-01]
[-5.78685097e+03  3.09044769e-01]
[-7.24183922e+03  3.83086933e-01]
[-9.82038746e+03  5.19935662e-01]
[-1.20675074e+04  6.45548792e-01]
[-1.63313957e+04  8.76607368e-01]
[-2.03649322e+04  1.08749826e+00]
[-2.76539727e+04  1.47672501e+00]
[-3.41649810e+04  1.83339671e+00]
[-4.63372777e+04  2.49012724e+00]
[-5.76598548e+04  3.09024488e+00]
[-7.63431597e+04  4.10364711e+00]
[-6.41708630e+04  3.44691659e+00]
[-3.98262695e+04  2.13345554e+00]
[-4.59124179e+04  2.46182080e+00]
[-3.45898408e+04  1.86170316e+00]
[-5.18923513e+04  2.78310945e+00]
[-5.23172111e+04  2.81141589e+00]
[-5.78722847e+04  3.10439810e+00]
[-4.92210295e+04  2.64369496e+00]
[-4.87961696e+04  2.61538851e+00]
[-4.61248478e+04  2.47597402e+00]
[-5.04504754e+04  2.70632559e+00]
[-5.08753352e+04  2.73463204e+00]
[-5.03555438e+04  2.70482116e+00]
[-5.15849898e+04  2.76745179e+00]
[-4.98120195e+04  2.67463417e+00]
[-4.97170880e+04  2.67312973e+00]
[-4.91735637e+04  2.64294274e+00]
[-5.00600488e+04  2.68935155e+00]
[-4.94690587e+04  2.65841234e+00]
[-4.99123013e+04  2.68161675e+00]
[-4.96168062e+04  2.66614714e+00]
[-4.98384275e+04  2.67774935e+00]
[-4.99333591e+04  2.67925379e+00]
[-4.99597671e+04  2.68236897e+00]
[-4.98489564e+04  2.67656787e+00]
[-4.97540248e+04  2.67506343e+00]
[-4.97988584e+04  2.67611102e+00]
[-4.98885255e+04  2.67820620e+00]
[-4.98212752e+04  2.67663481e+00]
[-4.98318041e+04  2.67545333e+00]
[-4.98367717e+04  2.67717534e+00]
[-4.98090904e+04  2.67724229e+00]
[-4.98245869e+04  2.67778282e+00]
[-4.98221031e+04  2.67692181e+00]
[-4.98497843e+04  2.67685487e+00]
[-4.98396109e+04  2.67695172e+00]
[-4.98249423e+04  2.67669819e+00]
[-4.98338143e+04  2.67705606e+00]
[-4.98513221e+04  2.67708597e+00]
[-4.98440173e+04  2.67704493e+00]
[-4.98498139e+04  2.67694059e+00]
[-4.98454074e+04  2.67684739e+00]
[-4.98443649e+04  2.67699554e+00]
[-4.98447124e+04  2.67694616e+00]
[-4.98418141e+04  2.67699833e+00]
[-4.98425091e+04  2.67689956e+00]
[-4.98419879e+04  2.67697363e+00]
[-4.98423354e+04  2.67692425e+00]
[-4.98420747e+04  2.67696129e+00]
[-4.98422485e+04  2.67693660e+00]
[-4.98371470e+04  2.67694216e+00]
[-4.98428210e+04  2.67694516e+00]
[-4.98409297e+04  2.67694416e+00]
[-4.98421616e+04  2.67694894e+00]
[-4.98383789e+04  2.67694694e+00]
[-4.98412159e+04  2.67694844e+00]
[-4.98402703e+04  2.67694794e+00]
[-4.98408862e+04  2.67695033e+00]
[-4.98402268e+04  2.67695411e+00]
[-4.98402594e+04  2.67694948e+00]
[-4.98402377e+04  2.67695257e+00]
[-4.98389623e+04  2.67695396e+00]
[-4.98404053e+04  2.67695124e+00]
[-4.98399243e+04  2.67695215e+00]
[-4.98402486e+04  2.67695103e+00]
[-4.98399351e+04  2.67695060e+00]
[-4.98399324e+04  2.67695099e+00]
[-4.98399297e+04  2.67695138e+00]
[-4.98397676e+04  2.67695194e+00]
[-4.98397730e+04  2.67695116e+00]
[-4.98397689e+04  2.67695174e+00]
[-4.98397716e+04  2.67695136e+00]
[-4.98397696e+04  2.67695165e+00]
[-4.98397703e+04  2.67695155e+00]
[-4.98396899e+04  2.67695173e+00]
[-4.98396913e+04  2.67695154e+00]
[-4.98395318e+04  2.67695171e+00]
[-4.98397107e+04  2.67695159e+00]
[-4.98396303e+04  2.67695177e+00]
[-4.9839676e+04  2.6769516e+00]
[-4.98396608e+04  2.67695166e+00]
[-4.98396511e+04  2.67695163e+00]
[-4.98396206e+04  2.67695175e+00]
[-4.98396434e+04  2.67695166e+00]
[-4.98396358e+04  2.67695169e+00]
[-4.98396310e+04  2.67695168e+00]
[-4.98396157e+04  2.67695174e+00]
[-4.98395908e+04  2.67695177e+00]
[-4.98396246e+04  2.67695171e+00]
[-4.98396133e+04  2.67695173e+00]
[-4.98396233e+04  2.67695171e+00]
[-4.98396209e+04  2.67695170e+00]
[-4.98396084e+04  2.67695172e+00]
[-4.98396122e+04  2.67695171e+00]
[-4.98396159e+04  2.67695171e+00]
[-4.98396171e+04  2.67695172e+00]
[-4.98396121e+04  2.67695173e+00]
[-4.98396058e+04  2.67695173e+00]
[-4.98396046e+04  2.67695173e+00]
[-4.98396102e+04  2.67695173e+00]
[-4.98396084e+04  2.67695173e+00]
[-4.98396115e+04  2.67695173e+00]
[-4.98396077e+04  2.67695173e+00]
[-4.98396103e+04  2.67695172e+00]
[-4.98396088e+04  2.67695173e+00]
[-4.98396093e+04  2.67695173e+00]
[-4.98396096e+04  2.67695173e+00]
[-4.98396106e+04  2.67695172e+00]
[-4.98396103e+04  2.67695172e+00]
[-4.98396101e+04  2.67695172e+00]
[-4.98396102e+04  2.67695172e+00]

------------------------------------------------------------
Sender: LSF System <lsfadmin@n-62-21-11>
Subject: Job 1756095: <batch_job_this_is_on_purpose_to_utilize_more_kernel> in cluster <dcc> Done

Job <batch_job_this_is_on_purpose_to_utilize_more_kernel> was submitted from host <gbarlogin2> by user <s174007> in cluster <dcc> at Tue Jan 15 17:21:57 2019
Job was executed on host(s) <n-62-21-11>, in queue <hpc>, as user <s174007> in cluster <dcc> at Tue Jan 15 17:31:39 2019
</zhome/b0/b/127184> was used as the home directory.
</zhome/b0/b/127184/Documents/Projects/machine-learning-on-materials> was used as the working directory.
Started at Tue Jan 15 17:31:39 2019
Terminated at Tue Jan 15 17:39:12 2019
Results reported at Tue Jan 15 17:39:12 2019

Your job looked like:

------------------------------------------------------------
# LSBATCH: User input
#!/bin/bash
##Kør på cpu
#BSUB -q hpc
##Navn på job
#BSUB -J batch_job_this_is_on_purpose_to_utilize_more_kernel
##Output fil
#BSUB -o output/batch/batchjobs-%J.out
##Antal kerner
#BSUB -n 1
##Om kernerne må være på forskellige computere
#BSUB -R "span[hosts=1]"
##Ram pr kerne
#BSUB -R "rusage[mem=10GB]"
##Hvor lang tid må den køre hh:mm
#BSUB -W 45:00
##Email når jobbet starter
##og stopper
module purge
module load python3
python3 KRR/batch_KRR_learn.py linear 0.001 GP newest -100 20
------------------------------------------------------------

Successfully completed.

Resource usage summary:

    CPU time :                                   452.73 sec.
    Max Memory :                                 1704 MB
    Average Memory :                             1687.47 MB
    Total Requested Memory :                     10240.00 MB
    Delta Memory :                               8536.00 MB
    Max Swap :                                   -
    Max Processes :                              4
    Max Threads :                                5
    Run time :                                   455 sec.
    Turnaround time :                            1035 sec.

The output (if any) is above this job summary.

